recno,ID,z,S,e_S,E_S,Tp1024,Fp1024,e_Fp1024,E_Fp1024,Tp64,Fp64,e_Fp64,E_Fp64,Tp64r,Fp63r,e_Fp63r,E_Fp63r,Eiso,e_Eiso,E_Eiso,Liso,e_Liso,E_Liso
144,"GRB150818A",0.282,81.0,9.16,10.9,0.936,3.02,0.44,0.48,5.824,5.51,1.45,1.49,0.684,4.85,1.24,1.28,2.53,0.29,0.34,0.19,0.05,0.05
145,"GRB150910A",1.359,97.9,13.5,14.5,75.0,2.47,0.66,0.68,78.824,7.99,2.61,2.65,78.704,6.3,1.56,1.6,52.07,7.19,7.71,7.91,1.96,2.01
146,"GRB151111A",3.5,41.8,4.94,5.32,0.184,1.66,0.23,0.26,1.464,3.15,0.73,0.76,0.952,2.07,0.38,0.41,138.4,16.36,17.61,25.17,4.63,4.99
147,"GRB151112A",4.1,8.08,1.49,1.97,3.512,1.48,0.35,0.42,4.096,3.38,0.97,1.1,0.416,2.15,0.54,0.64,41.27,7.64,10.07,51.81,13.12,15.39
148,"GRB151215A",2.59,5.84,1.58,2.39,0.512,2.97,0.83,1.23,0.168,5.41,1.84,2.47,0.128,4.86,1.42,2.05,10.79,2.93,4.41,32.23,9.41,13.62
149,"GRB160121A",1.96,7.13,0.92,1.19,3.56,0.89,0.15,0.18,4.976,2.01,0.51,0.56,4.938,1.3,0.3,0.33,8.46,1.09,1.41,4.57,1.05,1.16
150,"GRB160227A",2.38,110.0,25.5,27.5,192.0,1.33,0.37,0.41,193.128,3.18,1.01,1.09,200.562,2.06,0.62,0.68,252.9,58.28,62.87,12.42,3.76,4.1
151,"GRB160327A",4.99,28.1,6.33,6.55,5.256,2.66,0.62,0.64,4.288,4.49,1.3,1.33,5.606,2.99,0.73,0.76,208.4,46.91,48.54,132.7,32.54,33.51
152,"GRB161017A",2.013,132.0,25.4,33.3,17.808,6.86,0.7,0.75,20.776,10.1,1.52,1.57,21.684,8.48,1.07,1.12,165.3,31.69,41.53,28.39,3.6,3.76
153,"GRB161108A",1.159,12.9,2.65,6.9,6.696,0.91,0.26,0.43,7.096,2.64,0.89,1.34,7.064,1.88,0.6,0.93,6.6,1.36,3.53,1.99,0.64,0.99
154,"GRB161219B",0.1475,26.9,2.4,2.96,1.36,6.06,0.59,0.71,1.768,8.84,1.5,1.61,1.757,9.47,1.46,1.59,0.2,0.02,0.02,0.08,0.01,0.01
155,"GRB170113A",1.968,22.1,7.17,5.77,1.064,1.7,0.34,0.44,1.952,3.32,0.95,1.1,0.321,2.52,0.61,0.74,29.96,9.69,7.8,8.56,2.08,2.52
156,"GRB170202A",3.645,66.1,9.09,10.9,16.072,8.59,1.06,1.29,16.648,10.5,1.82,2.04,16.625,9.29,1.24,1.48,227.4,31.25,37.44,135.0,18.03,21.49
