GRB120129A GBM 131.82  -2.37 125.27   0.50 chi    -3.31 0.20 0.18  1.48 5.62E-06 0.56E-06 8.27E-06 0.83E-06
GRB120206A GBM 150.46   9.18 149.32 182.31 cstat  -3.25 1.14 0.62  1.42 2.38E-06 0.24E-06 2.05E-06 0.20E-06
GRB120226B GBM 160.07  12.58 165.04 175.23 chi    -1.82 0.11 0.10  1.38 6.26E-06 0.63E-06 3.37E-05 0.34E-05
GRB120305A XRT 156.48 -25.20  18.59 109.19 cstat  -2.60 0.46 0.33  0.77 8.20E-06 0.82E-06 6.56E-08 0.66E-08
GRB120308B GBM 133.08  -6.23  67.21  27.70 chi    -1.67 0.19 0.15  1.13 3.24E-06 0.32E-06 1.12E-05 0.11E-05
GRB120328B LAT  33.12  57.83  87.83 273.79 chi    -1.98 0.18 0.15  1.54 1.05E-05 0.11E-05 1.43E-04 0.14E-04
GRB120427A GBM  44.97  61.74  97.22 227.93 cstat  -2.43 2.44 2.44  2.18 1.35E-06 0.14E-06 2.37E-07 0.24E-07
GRB120512A ISG  68.48 -28.62  40.86  10.00 chi    -2.78 0.87 0.47  1.12 4.54E-07 0.45E-07 4.15E-06 0.42E-06
GRB120519A GBM 229.51  76.03  31.94  66.42 chi    -1.59 0.10 0.10  1.01 5.28E-06 0.53E-06 9.11E-06 0.91E-06
GRB120612C GBM 245.32 -65.08  58.13  45.97 cstat  -2.40 1.22 0.51  0.82 2.40E-06 0.24E-06 3.08E-07 0.31E-07
GRB120707A GBM   6.01 -21.35  80.95  51.94 chi    -2.05 1.11 0.51  1.31 1.04E-06 0.10E-06 1.31E-05 0.13E-05
GRB120911B LAT 285.16  22.47  77.12  58.01 chi    -2.21 0.05 0.04  1.47 1.10E-05 0.11E-05 8.15E-05 0.82E-05
GRB120919A BAT 318.59  14.62 131.52 155.15 chi    -1.93 1.05 0.29  1.18 2.76E-06 0.28E-06 7.34E-06 0.73E-06
GRB121011B IPN 145.80  71.19  57.33  71.07 cstat  -2.42 0.56 0.35  0.95 3.98E-06 0.40E-06 1.91E-07 0.19E-07
GRB121023A GBM  43.94 -29.46  27.51 284.71 cstat  -2.25 0.78 0.39  1.45 3.06E-06 0.31E-06 4.90E-07 0.49E-07
GRB121123B LAT 189.47 -71.75  70.31  46.73 chi    -2.57 1.22 0.57  0.92 6.62E-07 0.66E-07 5.93E-06 0.59E-06
GRB121127A GBM 292.87   9.17  85.46   5.80 cstat  -2.35 0.77 0.45  1.06 7.38E-06 0.74E-06 1.42E-06 0.14E-06
GRB130228B GBM 327.99  -1.95 157.85 210.72 cstat  -2.28 0.26 0.19  0.83 8.62E-06 0.86E-06 5.79E-06 0.58E-06
GRB130304A GBM 161.82  19.31 125.53 356.06 chi    -1.64 0.03 0.03  1.57 1.26E-05 0.13E-05 1.45E-04 0.14E-04
GRB130306A XRT  21.00  -2.33  41.23 148.04 chi    -2.52 0.24 0.20  0.88 7.42E-07 0.74E-07 1.97E-05 0.20E-05
